candidate_id,rank,score,reasoning
CAND_0065195,15,0.8661,"Search Engineer at CRED (5.1 yrs experience). Core skill match on BentoML, Elasticsearch, LLMs, Learning to Rank, LlamaIndex. Based in Kolkata, West Bengal, not a listed preferred city, and not open to relocation."
CAND_0088025,16,0.8622,"Staff Machine Learning Engineer at Yellow.ai (8.6 yrs experience). Core skill match on BM25, Deep Learning, Elasticsearch, LLMs, Learning to Rank. Based in Jaipur, Rajasthan, not a listed preferred city, and not open to relocation."
CAND_0063736,17,0.8618,"Data Scientist at Krutrim (3.7 yrs experience). Core skill match on Embeddings, Information Retrieval, Learning to Rank, Milvus, PyTorch. Based in Vizag, Andhra Pradesh, not a listed preferred city, and not open to relocation."
CAND_0099806,18,0.8609,"AI Engineer at Mad Street Den (4.6 yrs experience). Core skill match on BM25, Elasticsearch, Embeddings, FAISS, Prompt Engineering. Based in Bhubaneswar, Odisha, not a listed preferred city, but open to relocation."
CAND_0093912,19,0.8597,"Senior Data Scientist at Razorpay (5.3 yrs experience). Core skill match on Elasticsearch, Embeddings, Feature Engineering, Haystack, Learning to Rank. Based in Chandigarh, Chandigarh, not a listed preferred city, and not open to relocation."
CAND_0092255,20,0.8576,"ML Engineer at InMobi (5.2 yrs experience). Core skill match on Data Science, Learning to Rank, MLOps, Machine Learning, OpenSearch. Career pattern shows 4 roles averaging 15 months each (frequent switching)."
CAND_0008239,21,0.8569,"AI Engineer at Apple (4.0 yrs experience). Core skill match on BentoML, Elasticsearch, FAISS, Feature Engineering, LangChain. Based in Jaipur, Rajasthan, not a listed preferred city, but open to relocation."
CAND_0053605,22,0.8561,"Senior Software Engineer (ML) at Verloop.io (6.9 yrs experience). Core skill match on BM25, BentoML, LangChain, RAG, Reinforcement Learning. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0041610,23,0.8492,"Recommendation Systems Engineer at Zoho (6.7 yrs experience). Core skill match on BM25, Data Science, Elasticsearch, Embeddings, Feature Engineering. Based in Indore, Madhya Pradesh, not a listed preferred city, but open to relocation."
CAND_0096142,24,0.8485,"Applied ML Engineer at upGrad (5.0 yrs experience). Core skill match on BM25, BentoML, Kubeflow, NLP, Pinecone. Long notice period (120d)."
CAND_0076163,25,0.8471,"NLP Engineer at Ola (6.9 yrs experience). Core skill match on BM25, Elasticsearch, LangChain, LlamaIndex, MLOps. Based in Chandigarh, Chandigarh, not a listed preferred city, and not open to relocation."
CAND_0044213,26,0.8468,"AI Specialist at Haptik (3.7 yrs experience). Core skill match on Deep Learning, Information Retrieval, Machine Learning, Python, Reinforcement Learning. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0086022,27,0.8418,"Senior Applied Scientist at Sarvam AI (5.3 yrs experience). Core skill match on Deep Learning, Elasticsearch, Embeddings, Kubeflow, LangChain. Based in Kolkata, West Bengal, not a listed preferred city, but open to relocation."
CAND_0017090,28,0.8345,"Senior Software Engineer (ML) at Paytm (5.5 yrs experience). Core skill match on BentoML, LlamaIndex, OpenSearch, Python, Weaviate. Based in Kochi, Kerala, not a listed preferred city, and not open to relocation."
CAND_0025640,29,0.8324,"AI Research Engineer at HCL (5.6 yrs experience). Core skill match on Elasticsearch, FAISS, Information Retrieval, Kubeflow, OpenSearch. Based in Jaipur, Rajasthan, not a listed preferred city, and not open to relocation."
CAND_0033445,30,0.8324,"ML Engineer at Vedantu (6.8 yrs experience). Core skill match on BM25, Deep Learning, Information Retrieval, MLOps, Recommendation Systems. Based in Ahmedabad, Gujarat, not a listed preferred city, and not open to relocation."
CAND_0061257,31,0.8323,"Staff Machine Learning Engineer at LinkedIn (8.0 yrs experience). Uses plain-language descriptions (Information Retrieval Systems, Search Infrastructure, Model Adaptation) rather than buzzwords for what is substantively the same retrieval/ranking expertise."
CAND_0046459,32,0.832,"AI Research Engineer at upGrad (4.5 yrs experience). Core skill match on BM25, Kubeflow, Machine Learning, Python, Qdrant. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0008295,33,0.8314,"AI Research Engineer at Razorpay (6.5 yrs experience). Core skill match on BM25, BentoML, MLflow, Prompt Engineering, Python. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0073314,34,0.8309,"Senior Software Engineer (ML) at Aganitha (5.2 yrs experience). Core skill match on BentoML, Elasticsearch, Feature Engineering, MLOps, MLflow. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0012840,35,0.8305,"Junior ML Engineer at Nykaa (3.7 yrs experience). Core skill match on Embeddings, MLOps, MLflow, OpenSearch, Qdrant. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0054546,36,0.8302,"AI Research Engineer at Razorpay (4.9 yrs experience). Core skill match on BM25, BentoML, Learning to Rank, Prompt Engineering, Qdrant. Long notice period (90d)."
CAND_0071974,37,0.8279,"Senior AI Engineer at Netflix (7.8 yrs experience). Core skill match on BM25, Elasticsearch, Embeddings, Information Retrieval, Learning to Rank. Based in Vizag, Andhra Pradesh, not a listed preferred city, and not open to relocation."
CAND_0024990,38,0.8261,"Junior ML Engineer at Zoho (5.2 yrs experience). Core skill match on BM25, Deep Learning, Elasticsearch, Haystack, LLMs. Based in Trivandrum, Kerala, not a listed preferred city, and not open to relocation."
CAND_0042506,39,0.8239,"Search Engineer at Verloop.io (4.2 yrs experience). Core skill match on BentoML, Deep Learning, FAISS, Information Retrieval, Milvus. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0068811,40,0.8234,"Applied ML Engineer at Freshworks (8.0 yrs experience). Core skill match on Data Science, Embeddings, Haystack, Kubeflow, OpenSearch. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0062247,41,0.8223,"AI Engineer at Google (7.3 yrs experience). Core skill match on BM25, Deep Learning, Information Retrieval, Learning to Rank, Pinecone. Based in Kochi, Kerala, not a listed preferred city, but open to relocation."
CAND_0005538,42,0.8211,"Senior AI Engineer at Adobe (5.9 yrs experience). Uses plain-language descriptions (Vector Representations, Content Matching, Information Retrieval Systems) rather than buzzwords for what is substantively the same retrieval/ranking expertise."
CAND_0068456,43,0.8209,"Data Scientist at PharmEasy (4.8 yrs experience). Core skill match on Elasticsearch, Feature Engineering, MLflow, Milvus, OpenSearch. Based in Chennai, Tamil Nadu, not a listed preferred city, and not open to relocation."
CAND_0017960,44,0.8199,"Recommendation Systems Engineer at Nykaa (7.7 yrs experience). Core skill match on BentoML, Data Science, Haystack, Information Retrieval, LlamaIndex. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0030468,45,0.8191,"Senior Applied Scientist at Swiggy (5.4 yrs experience). Uses plain-language descriptions (Information Retrieval Systems, Content Matching, Text Encoders) rather than buzzwords for what is substantively the same retrieval/ranking expertise."
CAND_0026942,46,0.8181,"Junior ML Engineer at Verloop.io (6.0 yrs experience). Based in Chandigarh, Chandigarh, not a listed preferred city, but open to relocation."
CAND_0004402,47,0.8166,"AI Research Engineer at Yellow.ai (6.0 yrs experience). Core skill match on BentoML, Kubeflow, Learning to Rank, OpenSearch, PyTorch. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0095528,48,0.8162,"Senior Data Scientist at Netflix (5.3 yrs experience). Core skill match on Elasticsearch, Feature Engineering, MLOps, OpenSearch, PyTorch. Based in Indore, Madhya Pradesh, not a listed preferred city, and not open to relocation."
CAND_0066035,49,0.8142,"Data Scientist at Razorpay (6.7 yrs experience). Core skill match on BM25, BentoML, Feature Engineering, Information Retrieval, LLMs. Based in Kolkata, West Bengal, not a listed preferred city, and not open to relocation."
CAND_0015581,50,0.8123,"Senior Software Engineer (ML) at Niramai (6.0 yrs experience). Core skill match on BM25, BentoML, LangChain, Learning to Rank, MLflow. Based in Coimbatore, Tamil Nadu, not a listed preferred city, and not open to relocation."
CAND_0091890,51,0.8109,"AI Research Engineer at Verloop.io (4.7 yrs experience). Core skill match on BentoML, Deep Learning, Elasticsearch, Learning to Rank, Milvus. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0078492,52,0.8107,"Recommendation Systems Engineer at Verloop.io (5.1 yrs experience). Core skill match on BM25, Elasticsearch, FAISS, Haystack, Kubeflow. Based in Kochi, Kerala, not a listed preferred city, but open to relocation."
CAND_0010257,53,0.8105,"Senior Data Scientist at Google (6.5 yrs experience). Core skill match on Feature Engineering, MLflow, Machine Learning, Milvus, OpenSearch. Long notice period (120d)."
CAND_0046525,54,0.8094,"Senior Machine Learning Engineer at Genpact AI (6.1 yrs experience). Core skill match on Elasticsearch, Information Retrieval, LLMs, LangChain, LlamaIndex. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0070525,55,0.8086,"Senior Software Engineer (ML) at Mad Street Den (5.4 yrs experience). Core skill match on Embeddings, Feature Engineering, LLMs, Prompt Engineering, Python. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0075574,56,0.8084,"Machine Learning Engineer at Haptik (5.7 yrs experience). Core skill match on BM25, Elasticsearch, LlamaIndex, OpenSearch, PyTorch. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0046064,57,0.8081,"Senior NLP Engineer at Salesforce (8.9 yrs experience). Core skill match on BM25, Deep Learning, Elasticsearch, Haystack, OpenSearch. Based in Coimbatore, Tamil Nadu, not a listed preferred city, and not open to relocation."
CAND_0074225,58,0.8077,"Machine Learning Engineer at Unacademy (4.3 yrs experience). Core skill match on Elasticsearch, Haystack, Machine Learning, Milvus, Python. Based in Vizag, Andhra Pradesh, not a listed preferred city, but open to relocation."
CAND_0037944,59,0.8073,"Senior Data Scientist at Vedantu (4.9 yrs experience). Core skill match on BM25, Embeddings, Feature Engineering, LLMs, LlamaIndex. Based in Jaipur, Rajasthan, not a listed preferred city, and not open to relocation."
CAND_0031842,60,0.8063,"AI Specialist at Ola (3.5 yrs experience). Core skill match on BentoML, Deep Learning, Information Retrieval, LLMs, Reinforcement Learning. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0024878,61,0.8048,"AI Specialist at HCL (5.7 yrs experience). Core skill match on BM25, Elasticsearch, Feature Engineering, Information Retrieval, Kubeflow. Based in Vizag, Andhra Pradesh, not a listed preferred city, and not open to relocation."
CAND_0070514,62,0.8046,"AI Specialist at Glance (5.5 yrs experience). Core skill match on BentoML, FAISS, Kubeflow, MLOps, MLflow. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0028422,63,0.8035,"Junior ML Engineer at Yellow.ai (5.5 yrs experience). Core skill match on BentoML, Data Science, Deep Learning, Kubeflow, Learning to Rank. Based in Chennai, Tamil Nadu, not a listed preferred city, and not open to relocation."
CAND_0037980,64,0.8017,"Senior Applied Scientist at Niramai (9.0 yrs experience). Uses plain-language descriptions (Search Infrastructure, Indexing Algorithms, Text Encoders) rather than buzzwords for what is substantively the same retrieval/ranking expertise. Based in Kolkata, West Bengal, not a listed preferred city, but open to relocation."
CAND_0065633,65,0.7999,"Data Scientist at Zomato (3.5 yrs experience). Core skill match on BM25, BentoML, LangChain, Learning to Rank, Machine Learning. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0015065,66,0.7991,"AI Research Engineer at Flipkart (3.9 yrs experience). Core skill match on Data Science, Embeddings, Information Retrieval, Learning to Rank, LlamaIndex. Long notice period (90d)."
CAND_0005509,67,0.7951,Data Scientist at Ola (6.0 yrs experience). Strong alignment with the JD's core retrieval/ranking requirements.
CAND_0077285,68,0.7948,"Recommendation Systems Engineer at Nykaa (5.5 yrs experience). Core skill match on BentoML, Embeddings, FAISS, Information Retrieval, LlamaIndex. Based in Ahmedabad, Gujarat, not a listed preferred city, and not open to relocation."
CAND_0098952,69,0.7945,"AI Research Engineer at CRED (5.5 yrs experience). Core skill match on Feature Engineering, NLP, OpenSearch, Prompt Engineering, Python. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0096104,70,0.7942,AI Specialist at Yellow.ai (7.0 yrs experience). Strong alignment with the JD's core retrieval/ranking requirements.
CAND_0057701,71,0.7941,"Recommendation Systems Engineer at Verloop.io (4.1 yrs experience). Core skill match on Deep Learning, Feature Engineering, Learning to Rank, Machine Learning, Milvus. Based in Chandigarh, Chandigarh, not a listed preferred city, and not open to relocation."
CAND_0055905,72,0.794,"Senior Machine Learning Engineer at Flipkart (8.1 yrs experience). Core skill match on Elasticsearch, Embeddings, Haystack, Information Retrieval, LLMs. Based outside India (London, UK), not open to relocation, and role does not sponsor visas."
CAND_0050454,73,0.7928,"AI Engineer at Rephrase.ai (6.8 yrs experience). Core skill match on BM25, FAISS, Feature Engineering, Kubeflow, LLMs. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0011162,74,0.7917,"Recommendation Systems Engineer at upGrad (5.8 yrs experience). Core skill match on Embeddings, FAISS, Kubeflow, LangChain, Milvus. Based in Coimbatore, Tamil Nadu, not a listed preferred city, but open to relocation."
CAND_0037566,75,0.7908,"Machine Learning Engineer at LinkedIn (6.9 yrs experience). Core skill match on BM25, Elasticsearch, Feature Engineering, LLMs, LangChain. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0073883,76,0.7901,"AI Specialist at Krutrim (5.3 yrs experience). Core skill match on Deep Learning, FAISS, Haystack, OpenSearch, Python. Based in Chandigarh, Chandigarh, not a listed preferred city, but open to relocation."
CAND_0066690,77,0.7896,ML Engineer at Freshworks (4.8 yrs experience). Strong alignment with the JD's core retrieval/ranking requirements.
CAND_0041402,78,0.7885,"AI Specialist at Ola (6.3 yrs experience). Core skill match on Information Retrieval, LLMs, RAG, Recommendation Systems, Vector Search. Based in Vizag, Andhra Pradesh, not a listed preferred city, and not open to relocation."
CAND_0003575,79,0.7877,"Data Scientist at Glance (3.7 yrs experience). Core skill match on BentoML, Elasticsearch, Embeddings, Haystack, Kubeflow. Based in Ahmedabad, Gujarat, not a listed preferred city, but open to relocation."
CAND_0073982,80,0.7873,"Data Scientist at Dream11 (7.0 yrs experience). Core skill match on Data Science, Elasticsearch, FAISS, Kubeflow, PyTorch. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0000969,81,0.7867,"AI Specialist at Vedantu (5.5 yrs experience). Core skill match on Elasticsearch, Kubeflow, Pinecone, RAG, Semantic Search. Based in Coimbatore, Tamil Nadu, not a listed preferred city, and not open to relocation."
CAND_0000031,82,0.7865,"Recommendation Systems Engineer at Swiggy (6.0 yrs experience). Core skill match on BentoML, Embeddings, FAISS, Feature Engineering, Information Retrieval. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0014063,83,0.7865,"AI Specialist at Sarvam AI (5.4 yrs experience). Core skill match on BM25, Data Science, FAISS, LLMs, Learning to Rank. Based in Vizag, Andhra Pradesh, not a listed preferred city, and not open to relocation."
CAND_0017918,84,0.7851,"ML Engineer at Aganitha (3.2 yrs experience). Core skill match on BM25, Elasticsearch, LLMs, Pinecone, Prompt Engineering. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0062561,85,0.7827,"ML Engineer at Razorpay (5.9 yrs experience). Core skill match on Data Science, Information Retrieval, Kubeflow, Learning to Rank, PyTorch. Based in Bhubaneswar, Odisha, not a listed preferred city, and not open to relocation."
CAND_0040178,86,0.7812,"ML Engineer at Meesho (5.0 yrs experience). Core skill match on Kubeflow, Learning to Rank, MLflow, OpenSearch, Prompt Engineering. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0006418,87,0.7809,"Machine Learning Engineer at Verloop.io (5.7 yrs experience). Core skill match on Elasticsearch, Embeddings, Learning to Rank, MLflow, OpenSearch. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0080472,88,0.7805,"Junior ML Engineer at Zomato (4.4 yrs experience). Core skill match on Information Retrieval, LLMs, MLOps, Recommendation Systems, Reinforcement Learning. Long notice period (120d)."
CAND_0035879,89,0.7804,"AI Research Engineer at Krutrim (4.5 yrs experience). Core skill match on BM25, Elasticsearch, Feature Engineering, MLOps, MLflow. Long notice period (120d)."
CAND_0019288,90,0.7793,AI Research Engineer at Paytm (5.7 yrs experience). Strong alignment with the JD's core retrieval/ranking requirements.
CAND_0096823,91,0.7785,"Data Scientist at Glance (4.4 yrs experience). Core skill match on BentoML, Data Science, Elasticsearch, Milvus, NLP. Based in Jaipur, Rajasthan, not a listed preferred city, and not open to relocation."
CAND_0074731,92,0.7775,"Data Scientist at InMobi (6.6 yrs experience). Core skill match on LlamaIndex, MLOps, MLflow, OpenSearch, PyTorch. Based in Chennai, Tamil Nadu, not a listed preferred city, but open to relocation."
CAND_0040099,93,0.7769,"ML Engineer at TCS (3.9 yrs experience). Core skill match on Elasticsearch, Kubeflow, MLOps, NLP, Python. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0073504,94,0.7753,"Junior ML Engineer at PolicyBazaar (6.6 yrs experience). Core skill match on Elasticsearch, Kubeflow, LangChain, MLflow, RAG. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0045887,95,0.7748,"Data Scientist at PharmEasy (3.0 yrs experience). Core skill match on Elasticsearch, Embeddings, Kubeflow, Machine Learning. Based in Chennai, Tamil Nadu, not a listed preferred city, and not open to relocation."
CAND_0064904,96,0.7748,"AI Engineer at LinkedIn (4.9 yrs experience). Core skill match on Elasticsearch, Embeddings, LLMs, MLOps, OpenSearch. Long notice period (90d)."
CAND_0054318,97,0.7741,"AI Research Engineer at BYJU'S (3.5 yrs experience). Core skill match on FAISS, Information Retrieval, MLflow, PyTorch, Python. Based in Chandigarh, Chandigarh, not a listed preferred city, and not open to relocation."
CAND_0067866,98,0.7732,Senior Software Engineer (ML) at Tech Mahindra (6.4 yrs experience). Strong alignment with the JD's core retrieval/ranking requirements.
CAND_0072660,99,0.7722,"Machine Learning Engineer at Unacademy (7.1 yrs experience). Core skill match on Elasticsearch, FAISS, Feature Engineering, Information Retrieval, Kubeflow. Based outside India (Berlin, Germany), not open to relocation, and role does not sponsor visas."
CAND_0036520,100,0.7719,"Data Scientist at Glance (4.2 yrs experience). Core skill match on BM25, Embeddings, Feature Engineering, MLflow, Qdrant. Based in Indore, Madhya Pradesh, not a listed preferred city, and not open to relocation."
